QUESTION,BT LEVEL,Processed Question,Prediction (Naïve Bayes),Prediction (Random Forest),Prediction (SVM)
Vince longs a put option on Junebank's stock with a strike price at RM13. Currently Junebank's stock is priced at RM15 and the option premium is RM1.50. Advise Vince whether or not to exercise the option. Justify your answer. ,Evaluation,vinc long a put option on junebank' stock with a strike price at rm13. current junebank' stock is price at rm15 and the option premium is rm1.50. advis vinc whether or not to exercis the option. justifi your answer.,Analyze,Analyze,Analyze
"""The monetary policy is always useful in stimulating the economic growth by increasing the money supply in the market."" Comment on this statement. Support your answer with an appropriate diagram. ",Evaluation,"""the monetari polici is alway use in stimul the econom growth by increas the money suppli in the market."" comment on thi statement. support your answer with an appropri diagram.",Analyze,Apply,Analyze
“China has been practicing low exchange rate for previous decades.” Clarify the pros and cons under this practice. ,Analysis,“china ha been practic low exchang rate for previou decades.” clarifi the pro and con under thi practice.,Analyze,Evaluate,Analyze
Explain the Securities Act of 1933 and the Securities Exchange Act of 1934. ,Comprehension,explain the secur act of 1933 and the secur exchang act of 1934.,Understand,Evaluate,Understand
Differentiate between commercial letter of credit and standby letter of credit. ,Analysis,differenti between commerci letter of credit and standbi letter of credit.,Analyze,Analyze,Analyze
Draw an expiry profit diagram for the GCB bank’s position. ,Comprehension,draw an expiri profit diagram for the gcb bank’ position.,Analyze,Remember,Analyze
Explain the profit and loss for Alice and GCB bank. ,Comprehension,explain the profit and loss for alic and gcb bank.,Understand,Evaluate,Understand
Elaborate FIVE (5) factors that will influence the demand and supply of a currency. ,Comprehension,elabor five (5) factor that will influenc the demand and suppli of a currency.,Analyze,Analyze,Analyze
"By using an appropriate diagram, explain how the open market operation (OMO) can put an upward pressure on the federal fund rate (FFR).",Comprehension,"by use an appropri diagram, explain how the open market oper (omo) can put an upward pressur on the feder fund rate (ffr).",Analyze,Analyze,Analyze
Banks act as an important institution in the financial system. Briefly explain what a bank run is and provide THREE (3) causes that lead to its occurrence. ,Comprehension,bank act a an import institut in the financi system. briefli explain what a bank run is and provid three (3) caus that lead to it occurrence.,Understand,Evaluate,Understand
Explain what a junk bond is and its role in the financial market. ,Comprehension,explain what a junk bond is and it role in the financi market.,Evaluate,Evaluate,Understand
Suggest and explain TWO (2) ways to measure a bank's profitability. ,Synthesis,suggest and explain two (2) way to measur a bank' profitability.,Understand,Evaluate,Understand
"""An increase in the money supply will lead to an increase in the market equilibrium interest rate.” Comment and justify the above statement with an appropriate diagram. ",Evaluation,"""an increas in the money suppli will lead to an increas in the market equilibrium interest rate.” comment and justifi the abov statement with an appropri diagram.",Analyze,Analyze,Analyze
Differentiate primary and secondary reserves of a bank. List THREE (3) examples for each reserve. ,Analysis,differenti primari and secondari reserv of a bank. list three (3) exampl for each reserve.,Understand,Understand,Analyze
“The US dollar hit its highest levels in years shortly after Donald Trump won the presidential election in November 2016.” The statement above refers to the strong dollar scenario. Explain the pros and cons under this scenario. ,Analysis,“the u dollar hit it highest level in year shortli after donald trump won the presidenti elect in novemb 2016.” the statement abov refer to the strong dollar scenario. explain the pro and con under thi scenario.,Understand,Evaluate,Understand
Explain Eurocurrency and its market. ,Comprehension,explain eurocurr and it market.,Understand,Evaluate,Understand
